movie_id,plot,good
Q4997601,"Brian is a newcomer to Bungala Beach, near Sydney. He forms a new Surf Life Saving Club which wins first prize in a surf boat race.",1
Q5968472,The film is set in Mexico in the 1940s. Nacho works for tyrannical racist Don Lázaro in the Café Ofelia. He falls in love with Spanish prostitute Lola.,1
Q982617,The James gang rides again with the addition of a dead ringer for the dead Jesse James.,0
Q13455092,Bob and Larry are the two star player of a college team who compete to see who is the best player.,0
Q116763824,"Trapped without support, a small town cop finds her remote Sheriff's Office being targeted by a drug cartel in northern Washington state.",1
Q12684212,"Captain Robert Rogers, a British Army officer, publishes a book about his father's exploits. After it is ridiculed as a hoax, Rogers leaves for the Malay Peninsula to prove the existence of Booloo, the legendary tiger that killed his father.",1
Q4185291,"A greedy moneylender is murdered the same day that the carnival begins in Madrid. A watch seller, who owed a large amount to the old woman, is the main suspect in the crime. His daughter decides to investigate on her own.",1
Q39047720,After their father's death his seven sons and daughters try to scare off any prospective tenants from taking over the large house.,1
Q3714178,"A headstrong diva abandons the set of her latest film, and heads of to Cannes. A working class girl who strongly resembles the star takes her place so that the film can be finished.",1
Q85969140,"Davood bets his entire earning from a factory job on online soccer gambling; without ever losing on any game, he bets till he loses his life and love.",1
Q7720045,"After the world has ended, a group of vampires feed on the last remaining humans left on the planet. Confusion arises when one of the lead vampires falls in love with a human that is meant for food.",1
Q7770034,Two former football players re-unite to search for the lost treasures of the seventeenth century pirate Henry Morgan.,0
Q7710865,That's Adequate is a documentary about a fictional Hollywood film studio.,0
Q15063015,"When a temperamental film star storms off the set, a production crew shooting in the Alps decide to recruit a local post office employee to replace her. Complications ensue once they return to Berlin as they have all fallen in love with her.",0
Q26720463,"After Dagwood accidentally enlists in the U.S. Army Reserve, Blondie accompanies him to basic training camp.",0
Q28840429,"On a Mediterranean island, a tourist party inspects the ruins of a shrine built for the goddess of love.",0
Q4311306,A couple starts to live in strange and scary situations when they move to an old house in a seaside town.,0
Q17061664,"A British attorney working on a small island wants to return home to London, but first has to solve a mysterious crime.",1
Q7775550,"After the death of her fiancee, a woman develops fear of people and refuses to leave her house until a Nazi air raid happens.",1
Q16639784,"When his wife dies giving birth to a son, a man rejects the child and he is sent away. However, the boy's elder sister takes the lead in taking care of the infant and eventually reconciles her father to him.",1
Q124528566,"When a husband and wife win the lottery, they begin plotting to kill each other.",1
Q110101965,"A theatre company tours the country experiencing a drama, which turns into a police affair.",0
Q7721275,"A passenger on an Atlantic liner is found strangled, leading to a police investigation.",0
Q21307487,50 feet from Syria follows Syrian-American surgeon Hisham Bismar as he travels to the Turkish/Syrian border to volunteer for operating on victims from the Syrian Civil War.,1
Q3487453,A young man attempts to stage a charity concert in order to raise funds to refurbish a Soho church.,1
Q12985071,"The lives of two burglars, Raja and Ravi, change when they meet Shiva Prakash, a rich man. However, they are forced to go their separate ways, following a rift in their relationship.",0
Q7164778,"The guests of a boarding house, the Hotel Paradise, anxiously await the arrival of an opera singer. When a tailor turns up he is mistaken for the singer and has to imitate the role.",1
Q15059369,Gautam Buddha's biographical movie showcases different facets of his enlightened life.,0
Q4854547,"An inspector brings a patient who has lost his memory, to a psychiatrist. On the other hand, the inspector is investigating a case where the same patient was shot, and his prime suspects are the psychiatrist's wife and his compounder.",1
Q5963028,"Set in 1940s Madrid, the plot follows a group of thespians staging a play of La corte de Faraón and the play thereby being censored by the Francoist authorities on the basis of its moral laxity.",1
Q4000787,The film is based on the funny bickering between two cousins Nino and Maurizio.,0
Q3444225,"The events depicted in the film take place on a single night and result in several characters sharing their life stories. It is a fascinating depiction of some of the challenges faced by the poor and by women in Indian society, some of which continue to this day.",1
Q48313974,"In the film, Mia Malkova delivers a monologue about her sexuality, the role of women in society and the matriarchal and ultrafeminist bonds that attempt to tie them.",1
Q17026229,"The original TV listing in The Age newspaper described the plot as ""a woman's reactions to her husband's suspected affair with another woman"".",0
Q6746335,A singing cowboy fights corrupt land developers who try to cheat honest ranchers who are unaware of the gold lying beneath their land.,1
Q20992467,"Song of Lahore tells the story of Sachal Studios, a Pakistani music group who prepare for a New York City performance after being invited by Wynton Marsalis. They rehearse with Marsalis' band, the Jazz, then take the stage together at Lincoln Center.",1
Q16740198,The film narrates the events of African nationalist and independence movements in the 1960s and 1970s which challenged colonial and white minority rule.,0
Q104874416,The film follows the response of the Chinese and American governments to the COVID-19 pandemic.,1
Q5331231,"A Brooklyn garage band, General Malacarne, survives a radioactive event and have to battle against zombies to what they believe is the safe haven of Long Island.",1
Q7720779,"The film follows a deaf girl who witnesses a dead body being stashed in a nearby butcher shop. Not wanting to take the risk of being caught, the murderous butchers decide to kidnap her.",1
Q7750102,A brilliant scientist suffering from amnesia is hunted by Communist agents in search of a secret formula.,1
Q124259629,A mother may lose custody of her son because she refuses to medicate his ADHD.,1
Q4309583,He is a tax collector and sees the future. He is sent to one place where the impossible must be completed and he copes with the task until she appears. He has to make a difficult choice.,1
Q7228673,"Sarada becomes an orphan after her mother dies due to an illness. She is adopted by her stepmother, who ill-treats her.",0
Q77000675,The plot tracks the friendship between a pedantic homosexual poet and an unemployed typographer.,0
Q12124674,"A family moves to a farmhouse after their son's horrendous car crash that left him coma long-term, once in the different house dark events begin to occur.",1
Q5417460,A group of teenagers take up jobs in a seaside resort for the summer.,0
Q2531546,The film adopts a documentary-like format to tell about the life of prostitutes in various cities of the world.,1
Q109743430,A woman running a tiffin service business meets her 21st tiffin customer and how it changes everything. She overcomes her obstacles despite her struggles.,0
Q18392101,"Josekutty and Treesa, a happily married couple, move to a town in Tamil Nadu. However, Treesa begins suspecting Josekutty of getting attracted to Kaveri, a playful young woman.",1
Q18633907,"René Sartène, a celebrated singer performs on stage with Irène Daniel. However, when René meets and falls in love with the attractive Marie their developing romance faces attempts to thwart it by the Marie's brother and the jealous Irène.",1
Q19880932,"Leon, a youthful boy is out fishing at night when the Moon goes dark. He is magically transported to the Moon, where he meets Moongirl, whom he helps try to fix the Moon.",1
Q815263,"Belarmino comprises two strands: an experiential and an interview strand, and constantly alternates between the two. Although these are carefully intertwined on both the sound and image track, they can be separated for ease of discussion.",1
Q56450507,"Based on the novel of same name by Renato Baretić, a disgraced politician is sent to a remote Croatian island to coordinate its first valid election. He hopes to succeed where the previous seven commissioners failed.",1
Q5304286,"A group of friends investigate various strange events and find themselves trapped in a house at the mercy of a strange doctor and his various hideous ""creations"".",1
Q3205736,Three young women and a man find themselves isolated on a desert island after a shipwreck.,0
Q10983189,The story revolves around two brothers Manikam and Saravanan and their mill owner.,0
Q1140623,"Simon Gunner, is a star-struck foster kid who aspires to become a circus clown. With the help of veteran funster Jack Merrick, Simon ultimately fulfills his goal.",1
Q18391006,"Bhaskar, who was intoxicated, decides to end his life and confides in a stranger about his troubles. Unbeknownst to him, the stranger is a serial killer who begins to eliminate those who caused problems for Bhaskar.",1
Q6450711,The film follows a story of King Kyansittha of Bagan Dynasty.,0
Q24858895,The story of a relatively ordinary college student who meets a legendary swindler.,0
Q3475584,Alsatian missionary Albert Schweitzer refuses to modernize his French Congo hospital for U.S. sponsors.,0
Q5944499,two couples are stuck in a house together. one of the couples are going to host a wedding party at the house tonight but the other couple are still there with their boxes and stuff.,0
Q41100591,"In February 2004, when a snowstorm strands former professional hockey player Eric LeMarque atop the Sierra Nevada Mountains, he is forced to rediscover the power of faith within him in order to survive.",1
Q6281063,"The film follows the comic adventures of Joseph Andrews, footman to Lady Booby.",0
Q7168054,A Mafia hit man discovers a young boy has witnessed him killing someone. Under Mafia pressure he is urged to kill the boy but is picked up by the boy's mother and soon they fall into a relationship.,1
Q12858458,"Hero is a romantic and action movie. Waheed Murad played double role in this film. It is based on a story of two different persons but with similar faces, one is very innocent and the other is a gangster.",1
Q3683744,A flight attendant finds herself in the middle of fighting between rival gangs in Naples.,0
Q3897240,It is a film in regard to some Italian friends who are having romantic feelings for each other. There are many love triangles involved.,0
Q16952906,"A woman turns a boarding house into a nightclub, but faces problems when it is raided by the police.",1
Q129836719,"In 2018, Natalia, Sergei, and their two daughters, Alina and Katja, are living in Sweden, having fled their native Russia. After their asylum application is rejected, Katja falls into a mysterious coma caused by resignation syndrome.",1
Q124249583,"A man makes unexpected connections in a small town, as he finds himself to be the only black person around.",0
Q27590168,In post-war Cairo a variety of different people seek a stash of valuables and secret documents left behind by Erwin Rommel during the North African Campaign.,1
Q25209346,"Moldova. One winter day, Raisa travels into the city hoping to get something that could change her life.",0
Q12125836,"Lorna Doone falls for John Ridd, but is betrothed (against her will) to one Carver Doone. As the English Civil War looms, John is determined to defeat the vicious Doone family and win Lorna over.",1
Q1123452,"A young couple engage in a rampage of murder, rape, and mayhem in order to stimulate their sexual appetites.",1
Q3284100,"The three main dancers from Breakin', Kelly ""Special K"" Bennett, Orlando ""Ozone"" Barco and Tony ""Turbo"" Ainley, struggle to stop the demolition of a community recreation center by a developer who wants to build a shopping mall.",1
Q60791701,"The story of a family living in a New York City slum in 1912, headed by a loving but alcoholic father and a strong-willed mother.",0
Q21707066,"The plot is based on the ""Double Corpse Murder Case"" that happened on Mount Lung Fu in 1970.",0
Q1998914,"The film tells about hunters who go to an abandoned city to kill wolves, whose victims are residents of this city, and instead of wolves they find cannibal dogs there.",1
Q7227313,"An aging rodeo rider thinks more of himself than he does of his wife, son, and best friend.",0
Q4237136,The film is about a group of women on a hiking trip who are chased by deadly racist survivalists.,1
Q116783948,Plan C focuses on efforts by the grassroots organization of the same name to expand access to abortion across the United States via the distribution of at-home abortion pills through mail and the internet.,1
Q1961503,"A group of women are trapped in a deserted skyscraper, with a crazed killer at their heels.",1
Q767255,"Cutbacks force the closure of a secret government department, so several agents try to reverse the decision by kidnapping a senator's son.",1
Q7807778,A deaf auto mechanic invents a computer so he can hear and speak. When he attempts to patent his invention he is taken advantage of by a self-serving salesman.,1
Q3319934,The story of Klaus Barbie through World War II and post-war hiding journey in Bolivia including his involvement in the assassination of Che Guevara before being tried in France for war crimes committed in Lyon and the assassination of Jean Moulin.,0
Q1957324,Fredrik discovers synchronised swimming and recruits some friends to compete in an international competition for men.,1
Q7763155,Adaptation of the Robert Louis Stevenson's story of French prisoners in the Napoleonic wars who escape from Edinburgh Castle.,1
Q28840427,"Three doctors, Joe, Ruth and Tom, have just graduated are driving through London when they run over a pedestrian. The doctors panic and decide not to stop. Joe wants to confess, but Tom is indifferent and Ruth loves Tom. The pedestrian later dies and a person who witnessed the accident starts to blackmail them.",1
Q595660,An unemployed man and his blind wife lock up their two daughters for eleven years. Their neighbours call social workers to investigate the situation and the results lead the girls on a bittersweet path to the rest of the world.,1
Q3536693,Friends Abdullah and Raman go through misadventures to save their face from a strict Hajji.,0
Q12127898,"Cruz Montoya, a Latino spoken word artist from San Francisco returns home to Santa Fe, New Mexico to reconnect with his brother and dying father. Cruz soon finds himself spiraling back into his former life of drugs and violence that he left behind.",1
Q4452688,The film takes place in Petrograd. The film tells about the organization of the first working youth organization...,0
Q12124721,Two boys become shipwrecked on an island and find themselves locked in a struggle with lepers and colonists.,1
Q7825293,"Tora-san meets three women on vacation when he travels to Fukui. One of the women meets him at his home, and he believes she has fallen in love with him, unaware that she hopes to marry a potter in the countryside.",1
Q369414,"A convicted thief just released out of jail begins stealing again to provide for his family. After some successful jobs, he decides to bring his son into the family business.",1
Q113130841,The movie tells the story of a woman whose entire family were massacred because of a political appointment. Shola Arikusa seeks the aid of the god of Ijamido for vengeance.,1
Q28127712,Mr. Neighbor's House is a dark parody of an educational television show that takes place in Neighbortown and in the mind of a mental patient named Jim who hasn't said a word in seven years.,1
Q6707778,"Kennet, a drug addict and incorrigible petty criminal, longs to even 'the score', which is not in his favour.",0
Q2362897,While sailing on a yacht off the French Riviera a shy young man and the owner's daughter are shipwrecked on an island.,0
Q16254903,"The movie is centered around the young generation. The story is about a group of friends who have a music band and how they try to make it big in the field, in turn facing the hurdles and overcoming them.",1
Q5247435,"David and Julie are expecting their first child, but David discovers that her family is a long line of devil worshippers. They plan to offer up the baby as a sacrifice to Satan to prolong their power and lifespans, and David must use the psychic and spiritual powers within himself to save them all.",1
Q16249049,A West Point cadet falls in love with a girl who sings in his brother's band.,1
Q55612291,"This is a revenge story of a lady named Ganga who turned into dacoit. Incidentally, her sister becomes a police officer.",0
Q3172545,"A mother and her daughter are, almost at same time, diagnosed with cancer. Now, the struggle against the illness will set them close and help them to overcome old antagonisms.",1
Q5055548,"Out of ambition, a woman sacrifices her true love and marries a man of fortune.",0
Q7234890,"Vava, a villager, goes through many troubles as he is born to a Christian mother and a Brahmin father. However, he is determined to prove to society that love is what matters the most.",1
Q3637781,Two young women travelling towards Milan to try to secure roles in a new musical comedy show enjoy a series of adventures which involve pretending to be soldiers and taking part in a bicycle race.,1
